City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Loralai,PK,30.3705,68.598,43.03,28,0,2.73,clear sky
200,Cabo San Lucas,MX,22.8909,-109.9124,80.51,66,20,3.0,few clouds
201,Lyuban,BY,52.7985,28.0048,36.81,99,100,5.32,overcast clouds
202,Emerald,AU,-23.5333,148.1667,73.54,69,90,5.75,overcast clouds
203,Dikson,RU,73.5069,80.5464,-18.18,94,97,13.71,overcast clouds
204,Buala,SB,-8.145,159.5921,81.57,83,100,6.8,overcast clouds
205,Saskylakh,RU,71.9167,114.0833,-44.93,100,68,2.84,broken clouds
206,Krasnoselkup,RU,65.7,82.4667,-15.21,92,100,6.11,overcast clouds
207,Batetskiy,RU,58.6461,30.3027,30.11,99,100,4.27,light snow
208,Isla Mujeres,MX,21.2311,-86.731,84.25,65,84,9.35,broken clouds
209,Grindavik,IS,63.8424,-22.4338,41.47,93,75,24.16,broken clouds
210,Puerto Rondon,CO,6.2805,-71.1,91.56,38,90,11.05,overcast clouds
211,Nurobod,UZ,40.9056,69.8023,41.85,70,76,3.65,broken clouds
212,Calvinia,ZA,-31.4707,19.776,71.71,32,98,7.36,overcast clouds
213,Samarai,PG,-10.6167,150.6667,81.84,81,100,11.81,overcast clouds
214,Hovd,MN,48.0056,91.6419,9.34,58,100,3.4,overcast clouds
215,Balykshi,KZ,47.0667,51.8667,19.4,79,0,13.42,clear sky
216,Lingsugur,IN,16.1667,76.5167,74.55,66,100,8.77,overcast clouds
217,Carnarvon,AU,-24.8667,113.6333,69.87,73,0,16.11,clear sky
218,Athabasca,CA,54.7169,-113.2854,24.62,87,100,4.34,overcast clouds
219,Pincher Creek,CA,49.4833,-113.952,35.71,70,40,18.41,scattered clouds
220,Cap-Aux-Meules,CA,47.3821,-61.8597,37.42,56,75,31.07,broken clouds
221,Mathathane,BW,-22.2687,28.7495,84.51,35,100,11.36,overcast clouds
222,Urumqi,CN,43.801,87.6005,4.15,78,0,2.24,clear sky
223,Tarnogskiy Gorodok,RU,60.4997,43.5761,13.28,90,100,7.09,overcast clouds
224,Maraa,BR,-1.8333,-65.3667,84.6,70,88,5.48,overcast clouds
225,Carutapera,BR,-1.195,-46.02,84.4,69,28,9.75,scattered clouds
226,Katsuura,JP,35.1333,140.3,59.02,62,54,4.63,broken clouds
227,Wanning,CN,18.8003,110.3967,67.82,82,6,10.83,clear sky
228,Pacific Grove,US,36.6177,-121.9166,56.43,67,90,1.99,overcast clouds
229,Ulaanbaatar,MN,47.9077,106.8832,6.46,73,10,4.03,clear sky
230,Laguna,US,38.421,-121.4238,53.91,81,90,3.0,haze
231,Daru,PG,-9.0763,143.2092,76.78,92,99,10.45,overcast clouds
232,Falavarjan,IR,32.5553,51.5097,35.28,30,0,2.13,clear sky
233,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,91.2,42,90,6.76,overcast clouds
234,Gerash,IR,27.6652,54.1371,46.54,30,0,1.41,clear sky
235,Safaga,EG,26.7292,33.9365,67.95,70,100,3.6,overcast clouds
236,Kudahuvadhoo,MV,2.6708,72.8944,81.32,74,100,9.8,overcast clouds
237,Heihe,CN,50.2441,127.4902,-3.42,88,18,4.36,few clouds
238,General Roca,AR,-39.0333,-67.5833,76.62,14,4,26.46,clear sky
239,Luderitz,NA,-26.6481,15.1594,62.94,84,3,14.0,clear sky
240,Salalah,OM,17.0151,54.0924,77.09,33,0,10.36,clear sky
241,Port-Gentil,GA,-0.7193,8.7815,79.54,79,100,2.71,overcast clouds
242,Nishihara,JP,26.1842,127.7558,67.68,80,75,14.97,mist
243,Cidreira,BR,-30.1811,-50.2056,73.9,77,0,11.68,clear sky
